User_ID,Country,Age,Gender,Occupation,Education_Level,Income_USD,Daily_Usage_Hours,Phone_Checks_Per_Day,Time_on_Social_Media,Time_on_Gaming,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Exercise_Hours,Mental_Health_Score,Depression_Level,Anxiety_Level,Stress_Level,Relationship_Status,Has_Children,Urban_or_Rural,Time_Spent_With_Family_Hours,Online_Shopping_Hours,Internet_Connection_Type,Primary_Device_Brand,Has_Screen_Time_Management_App,Addiction_Level,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score,source_dataset
10001,India,32,Male,Salesperson,High School,43865.49,5.81,75,0.84,0.0,3.36,1.44,2.14,5.22,1.32,61.47,8.1,2.4,95.8,Single,No,Rural,1.7,1.85,5G,Other,No,2.5,16.43,Yes,16,106,39.36,global_mobile
10002,UK,26,Male,Artist,Master's,41868.19,9.05,61,3.13,2.5,0.8,2.42,1.44,6.23,0.66,96.11,9.9,4.0,25.03,In Relationship,No,Rural,0.9,0.66,4G,Samsung,Yes,9.5,32.87,No,12,111,9.45,global_mobile
10003,Germany,70,Other,Doctor,High School,59636.51,5.76,58,2.12,1.96,1.84,1.98,1.92,6.57,1.93,73.68,4.5,9.4,99.54,Single,Yes,Urban,1.69,0.0,WiFi,Samsung,Yes,9.5,27.45,No,18,90,50.27,global_mobile
10004,UK,44,Female,Engineer,,39022.07,6.71,80,1.6,2.7,1.9,2.43,1.82,7.27,0.94,53.42,1.1,0.5,66.49,In Relationship,No,Urban,1.11,0.17,3G,Apple,Yes,5.5,30.85,No,17,60,30.82,global_mobile
10005,Brazil,46,Other,Student,,0.0,6.31,136,1.51,1.73,1.48,1.3,1.76,5.43,1.04,67.01,3.8,1.7,14.72,Divorced,No,Urban,1.06,0.58,3G,Xiaomi,No,7.5,10.38,Yes,18,127,21.7,global_mobile
10006,Japan,34,Male,Student,PhD,19751.8,8.94,129,2.28,2.49,0.97,1.39,2.66,6.21,1.14,25.15,9.7,6.6,63.04,Married,No,Rural,1.32,0.4,5G,Xiaomi,No,2.5,17.51,No,8,78,14.38,global_mobile
10007,China,51,Male,Doctor,Master's,22956.76,4.18,65,1.75,2.07,0.33,1.58,1.98,4.84,1.33,4.94,2.7,8.0,83.2,In Relationship,No,Urban,1.08,0.88,WiFi,Huawei,Yes,9.5,44.52,No,11,82,79.63,global_mobile
10008,Russia,68,Male,Salesperson,High School,62102.93,10.05,87,2.13,2.99,1.67,2.06,1.51,6.81,1.43,44.33,9.5,2.1,62.53,Divorced,Yes,Rural,1.02,0.77,5G,Samsung,Yes,2.5,26.66,No,12,102,52.16,global_mobile
10009,Nigeria,33,Other,Salesperson,,26629.11,7.45,50,2.02,0.49,2.41,1.6,2.98,6.54,1.4,55.45,6.0,9.5,95.94,Divorced,No,Urban,0.77,0.1,5G,Apple,Yes,7.5,24.49,No,8,85,31.52,global_mobile
10010,India,38,Other,Salesperson,High School,43121.39,6.87,95,2.27,0.0,2.44,1.37,2.55,6.04,1.55,85.13,3.8,0.4,33.65,Divorced,No,Urban,1.74,1.82,4G,OnePlus,Yes,7.5,29.05,No,14,120,97.4,global_mobile
10011,Brazil,36,Male,Teacher,Master's,20817.23,5.87,94,1.46,2.47,2.14,1.36,2.29,5.41,0.61,43.34,1.1,3.7,9.31,Single,Yes,Urban,1.93,1.24,WiFi,Other,Yes,7.5,25.57,No,8,70,22.05,global_mobile
10012,Russia,34,Male,Manager,Bachelor's,33236.88,8.09,86,2.58,1.89,2.42,0.98,2.19,6.52,0.79,7.35,9.4,4.3,69.66,Divorced,No,Urban,2.53,1.23,4G,Other,No,5.5,17.14,No,13,95,24.82,global_mobile
10013,USA,18,Female,Engineer,Bachelor's,16430.69,5.01,75,1.12,0.69,1.26,1.63,1.11,7.42,1.4,88.7,5.8,2.5,23.15,Divorced,Yes,Urban,2.16,0.0,4G,Samsung,Yes,9.5,29.76,Yes,8,112,37.84,global_mobile
10014,Germany,49,Female,Teacher,High School,30612.87,5.22,62,3.16,2.58,2.25,1.02,3.23,6.26,0.33,11.29,6.8,8.3,79.94,Married,Yes,Rural,1.21,1.52,3G,Huawei,No,5.5,26.45,No,17,98,62.58,global_mobile
10015,India,62,Other,Student,High School,10372.75,9.32,69,2.64,0.78,1.55,1.21,2.54,7.1,0.56,28.51,8.1,2.5,77.97,Married,Yes,Rural,1.64,0.73,4G,Other,No,5.5,34.46,Yes,16,116,31.8,global_mobile
